"STATION","NAME","DATE","AWND","SNOW","TMAX","TMIN"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-05-25","7.83","0.0","85","52"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-05-26","9.62","0.0","79","55"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-05-27","6.71","0.0","77","50"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-05-28","7.61","0.0","59","51"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-05-29","5.14","0.0","61","52"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-05-30","6.93","0.0","74","50"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-05-31","5.14","0.0","70","56"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-06-01","8.05","0.0","79","57"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-06-02","9.62","0.0","68","52"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-06-03","13.87","0.0","63","43"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-06-04","6.71","0.0","66","43"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-06-05","5.59","0.0","79","58"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-06-06","3.80","0.0","74","54"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-06-07","4.47","0.0","79","51"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-06-08","6.49","0.0","78","52"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-06-09","8.05","0.0","85","52"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-06-10","10.51","0.0","76","57"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-06-11","12.75","0.0","73","53"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-06-12","8.05","0.0","78","48"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-06-13","9.17","0.0","66","58"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-06-14","16.33","0.0","72","54"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-06-15","13.65","0.0","75","61"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-06-16","5.59","0.0","63","51"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-06-17","4.70","0.0","74","49"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-06-18","5.82","0.0","78","60"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-06-19","5.14","0.0","81","57"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-06-20","7.83","0.0","68","61"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-06-21","9.62","0.0","76","60"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-06-22","7.61","0.0","77","53"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-06-23","5.82","0.0","81","53"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-06-24","6.93","0.0","82","57"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-06-25","11.63","0.0","80","64"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-06-26","11.86","0.0","86","63"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-06-27","5.14","0.0","86","60"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-06-28","5.37","0.0","89","62"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-06-29","8.72","0.0","84","68"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-06-30","9.40","0.0","74","59"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-07-01","3.80","0.0","81","55"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-07-02","6.93","0.0","80","66"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-07-03","3.58","0.0","85","66"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-07-04","2.91","0.0","90","65"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-07-05","7.61","0.0","88","73"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-07-06","6.93","0.0","85","72"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-07-07","9.17","0.0","76","58"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-07-08","4.25","0.0","78","53"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-07-09","4.25","0.0","84","54"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-07-10","5.59","0.0","91","62"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-07-11","8.50","0.0","86","69"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-07-12","9.40","0.0","75","63"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-07-13","9.40","0.0","86","60"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-07-14","8.50","0.0","80","63"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-07-15","4.03","0.0","82","59"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-07-16","9.40","0.0","92","67"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-07-17","5.14","0.0","82","72"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-07-18","4.70","0.0","85","70"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-07-19","10.74","0.0","89","73"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-07-20","11.18","0.0","92","75"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-07-21","9.62","0.0","85","66"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-07-22","2.91","0.0","72","66"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-07-23","5.14","0.0","79","61"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-07-24","6.26","0.0","80","57"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-07-25","6.71","0.0","83","57"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-07-26","4.47","0.0","85","62"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-07-27","6.93","0.0","88","62"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-07-28","11.41","0.0","85","70"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-07-29","8.05","0.0","91","68"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-07-30","7.16","0.0","84","68"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-07-31","4.92","0.0","83","61"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-08-01","6.93","0.0","82","59"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-08-02","4.47","0.0","84","54"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-08-03","4.92","0.0","87","60"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-08-04","5.82","0.0","79","57"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-08-05","4.92","0.0","86","54"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-08-06","8.50","0.0","90","66"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-08-07","4.70","0.0","78","68"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-08-08","8.05","0.0","82","64"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-08-09","10.29","0.0","79","61"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-08-10","9.62","0.0","77","57"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-08-11","8.50","0.0","82","53"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-08-12","8.95","0.0","86","61"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-08-13","4.47","0.0","83","64"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-08-14","7.16","0.0","78","60"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-08-15","6.04","0.0","80","57"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-08-16","3.58","0.0","83","61"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-08-17","6.04","0.0","79","64"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-08-18","6.93","0.0","87","65"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-08-19","9.40","0.0","84","69"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-08-20","4.70","0.0","87","62"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-08-21","7.83","0.0","87","67"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-08-22","8.05","0.0","76","57"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-08-23","6.49","0.0","74","55"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-08-24","6.26","0.0","72","52"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-08-25","5.82","0.0","78","51"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-08-26","5.82","0.0","77","54"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-08-27","9.17","0.0","79","62"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-08-28","8.28","0.0","83","61"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-08-29","9.40","0.0","77","58"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-08-30","10.96","0.0","79","56"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-08-31","4.70","0.0","74","51"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-09-01","3.58","0.0","76","53"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-09-02","6.04","0.0","75","63"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-09-03","5.59","0.0","79","60"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-09-04","11.63","0.0","76","55"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-09-05","3.80","0.0","73","51"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-09-06","5.14","0.0","74","52"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-09-07","7.83","0.0","72","54"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-09-08","5.82","0.0","67","53"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-09-09","4.92","0.0","67","51"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-09-10","5.59","0.0","83","49"
